施策番号,ISS区分,施策名,部門,担当者,開発計画金額,着地見込み額,実績,組替有無
2025-01-032,その他ISS,AIトラフィック分析基盤構築,ビジネスプロセス部門,鈴木一郎,148.0,52.0,7.0,組替済
2025-01-033,その他ISS,NW仮想化検証基盤整備,NW技術部門,山本彩,161.0,96.0,42.0,組替無
2025-01-034,研究ISS,AIトラフィック分析基盤構築,クラウドサーバ部門,佐藤太郎,190.0,118.0,54.0,組替無
2025-01-035,建物ISS,クラウドNW統合管理施策,技術戦略部門,加藤真由,35.0,2.0,2.0,組替無
2025-01-036,建物ISS,AI需要予測モデル高度化,デジタル技術,山本彩,168.0,116.0,23.0,組替済
2025-01-037,研究ISS,AI需要予測モデル高度化,技術戦略部門,田中美咲,96.0,49.0,15.0,組替無
2025-01-038,研究ISS,NW仮想化検証基盤整備,クラウドサーバ部門,鈴木一郎,99.0,92.0,79.0,組替済
2025-01-039,その他ISS,AIトラフィック分析基盤構築,クラウドサーバ部門,加藤真由,101.0,51.0,10.0,組替無
2025-01-040,研究ISS,AI需要予測モデル高度化,NW技術部門,鈴木一郎,170.0,102.0,4.0,組替済
2025-01-041,その他ISS,クラウドNW統合管理施策,デジタル技術,中村亮,186.0,153.0,85.0,組替無
2025-01-042,建物ISS,NW仮想化検証基盤整備,クラウドサーバ部門,山本彩,87.0,2.0,1.0,組替無
2025-01-043,建物ISS,生成AI活用業務効率化施策,デジタル技術,小林大輔,35.0,14.0,3.0,組替済
2025-01-044,建物ISS,NW仮想化検証基盤整備,技術戦略部門,鈴木一郎,59.0,38.0,22.0,組替済
2025-01-045,建物ISS,データセンタNW刷新施策,NW技術部門,渡辺直樹,61.0,36.0,12.0,組替済
2025-01-046,システムISS,NW仮想化検証基盤整備,アクセス技術部門,山本彩,78.0,47.0,23.0,組替済
2025-01-047,建物ISS,生成AI活用業務効率化施策,アクセス技術部門,山本彩,127.0,2.0,2.0,組替無
2025-01-048,その他ISS,AIトラフィック分析基盤構築,技術戦略部門,山本彩,147.0,122.0,54.0,組替済
2025-01-049,研究ISS,生成AI活用業務効率化施策,NW技術部門,渡辺直樹,84.0,81.0,10.0,組替済
2025-01-050,研究ISS,NW仮想化検証基盤整備,アクセス技術部門,佐藤太郎,166.0,108.0,59.0,組替済
2025-01-051,建物ISS,データセンタNW刷新施策,ビジネスプロセス部門,中村亮,123.0,17.0,13.0,組替無
2025-01-052,システムISS,AIトラフィック分析基盤構築,クラウドサーバ部門,中村亮,186.0,65.0,65.0,組替無
2025-01-053,建物ISS,AIトラフィック分析基盤構築,アクセス技術部門,中村亮,78.0,51.0,37.0,組替無
2025-01-054,研究ISS,5GコアNW最適化施策,アクセス技術部門,渡辺直樹,103.0,78.0,17.0,組替無
2025-01-055,建物ISS,AIトラフィック分析基盤構築,技術戦略部門,中村亮,66.0,0.0,0.0,組替済
2025-01-056,建物ISS,クラウドNW統合管理施策,クラウドサーバ部門,渡辺直樹,146.0,41.0,8.0,組替無
2025-01-057,建物ISS,5GコアNW最適化施策,クラウドサーバ部門,高橋健,38.0,13.0,11.0,組替無
2025-01-058,その他ISS,生成AI活用業務効率化施策,NW技術部門,高橋健,137.0,110.0,16.0,組替済
2025-01-059,研究ISS,データセンタNW刷新施策,ビジネスプロセス部門,中村亮,52.0,39.0,3.0,組替無
2025-01-060,研究ISS,クラウドNW統合管理施策,技術戦略部門,渡辺直樹,62.0,33.0,0.0,組替済
2025-01-061,建物ISS,データセンタNW刷新施策,アクセス技術部門,佐藤太郎,76.0,67.0,36.0,組替済
2025-01-062,研究ISS,AIトラフィック分析基盤構築,クラウドサーバ部門,小林大輔,127.0,127.0,25.0,組替済
2025-01-063,システムISS,AIトラフィック分析基盤構築,デジタル技術,田中美咲,117.0,52.0,49.0,組替済
2025-01-064,システムISS,AI需要予測モデル高度化,ビジネスプロセス部門,佐藤太郎,24.0,4.0,0.0,組替無
2025-01-065,建物ISS,NW仮想化検証基盤整備,デジタル技術,高橋健,152.0,19.0,13.0,組替無
2025-01-066,その他ISS,AI需要予測モデル高度化,NW技術部門,山本彩,72.0,60.0,40.0,組替無
2025-01-067,建物ISS,生成AI活用業務効率化施策,アクセス技術部門,加藤真由,175.0,100.0,34.0,組替済
2025-01-068,建物ISS,AIトラフィック分析基盤構築,ビジネスプロセス部門,渡辺直樹,188.0,172.0,3.0,組替無
2025-01-069,システムISS,AI需要予測モデル高度化,NW技術部門,山本彩,200.0,181.0,91.0,組替済
2025-01-070,システムISS,生成AI活用業務効率化施策,クラウドサーバ部門,高橋健,68.0,14.0,5.0,組替済
2025-01-071,システムISS,AI需要予測モデル高度化,クラウドサーバ部門,田中美咲,61.0,30.0,24.0,組替済
2025-01-072,その他ISS,NW仮想化検証基盤整備,ビジネスプロセス部門,田中美咲,87.0,17.0,17.0,組替無
2025-01-073,システムISS,生成AI活用業務効率化施策,ビジネスプロセス部門,伊藤誠,161.0,116.0,110.0,組替無
2025-01-074,建物ISS,AI需要予測モデル高度化,NW技術部門,高橋健,30.0,14.0,13.0,組替無
2025-01-075,研究ISS,5GコアNW最適化施策,デジタル技術,小林大輔,145.0,37.0,22.0,組替済
2025-01-076,システムISS,NW仮想化検証基盤整備,NW技術部門,田中美咲,48.0,27.0,11.0,組替済
2025-01-077,研究ISS,AI需要予測モデル高度化,クラウドサーバ部門,佐藤太郎,74.0,12.0,3.0,組替無
2025-01-078,建物ISS,AIトラフィック分析基盤構築,デジタル技術,鈴木一郎,44.0,35.0,19.0,組替済
2025-01-079,建物ISS,5GコアNW最適化施策,NW技術部門,伊藤誠,157.0,30.0,30.0,組替無
2025-01-080,その他ISS,NW仮想化検証基盤整備,デジタル技術,田中美咲,175.0,103.0,40.0,組替無
2025-01-081,建物ISS,AI需要予測モデル高度化,デジタル技術,田中美咲,76.0,14.0,0.0,組替無
2025-01-082,システムISS,クラウドNW統合管理施策,技術戦略部門,加藤真由,183.0,171.0,141.0,組替済
2025-01-083,その他ISS,データセンタNW刷新施策,アクセス技術部門,高橋健,62.0,11.0,0.0,組替無
2025-01-084,システムISS,5GコアNW最適化施策,デジタル技術,鈴木一郎,45.0,28.0,7.0,組替済
2025-01-085,その他ISS,クラウドNW統合管理施策,NW技術部門,高橋健,20.0,18.0,7.0,組替済
2025-01-086,その他ISS,NW仮想化検証基盤整備,デジタル技術,伊藤誠,93.0,26.0,1.0,組替無
2025-01-087,その他ISS,5GコアNW最適化施策,アクセス技術部門,山本彩,187.0,9.0,9.0,組替無
2025-01-088,システムISS,AI需要予測モデル高度化,ビジネスプロセス部門,高橋健,64.0,24.0,13.0,組替無
2025-01-089,システムISS,データセンタNW刷新施策,技術戦略部門,加藤真由,119.0,78.0,47.0,組替無
2025-01-090,研究ISS,AI需要予測モデル高度化,クラウドサーバ部門,佐藤太郎,139.0,109.0,70.0,組替済
2025-01-091,建物ISS,AI需要予測モデル高度化,デジタル技術,渡辺直樹,98.0,50.0,15.0,組替済
2025-01-092,システムISS,NW仮想化検証基盤整備,アクセス技術部門,中村亮,116.0,111.0,49.0,組替無
2025-01-093,研究ISS,NW仮想化検証基盤整備,ビジネスプロセス部門,加藤真由,135.0,2.0,1.0,組替済
2025-01-094,研究ISS,生成AI活用業務効率化施策,ビジネスプロセス部門,加藤真由,108.0,105.0,70.0,組替済
2025-01-095,システムISS,AIトラフィック分析基盤構築,クラウドサーバ部門,中村亮,106.0,6.0,5.0,組替済
2025-01-096,その他ISS,クラウドNW統合管理施策,NW技術部門,高橋健,100.0,26.0,25.0,組替済
2025-01-097,システムISS,AIトラフィック分析基盤構築,アクセス技術部門,小林大輔,189.0,30.0,12.0,組替済
2025-01-098,システムISS,クラウドNW統合管理施策,技術戦略部門,鈴木一郎,99.0,25.0,7.0,組替無
2025-01-099,その他ISS,データセンタNW刷新施策,アクセス技術部門,田中美咲,42.0,5.0,3.0,組替済
2025-01-100,その他ISS,データセンタNW刷新施策,アクセス技術部門,佐藤太郎,28.0,22.0,14.0,組替無
2025-01-101,研究ISS,AI需要予測モデル高度化,デジタル技術,山本彩,200.0,159.0,87.0,組替無
2025-01-102,システムISS,クラウドNW統合管理施策,クラウドサーバ部門,中村亮,103.0,40.0,24.0,組替無
2025-01-103,システムISS,NW仮想化検証基盤整備,NW技術部門,佐藤太郎,180.0,4.0,4.0,組替無
2025-01-104,研究ISS,5GコアNW最適化施策,アクセス技術部門,中村亮,140.0,5.0,1.0,組替済
2025-01-105,システムISS,クラウドNW統合管理施策,NW技術部門,伊藤誠,48.0,29.0,0.0,組替済
2025-01-106,その他ISS,データセンタNW刷新施策,技術戦略部門,小林大輔,120.0,11.0,6.0,組替無
2025-01-107,建物ISS,5GコアNW最適化施策,ビジネスプロセス部門,小林大輔,67.0,23.0,1.0,組替無
2025-01-108,研究ISS,生成AI活用業務効率化施策,ビジネスプロセス部門,渡辺直樹,134.0,117.0,104.0,組替済
2025-01-109,建物ISS,AIトラフィック分析基盤構築,アクセス技術部門,田中美咲,33.0,12.0,2.0,組替無
2025-01-110,その他ISS,5GコアNW最適化施策,アクセス技術部門,高橋健,15.0,6.0,0.0,組替無
2025-01-111,建物ISS,AI需要予測モデル高度化,技術戦略部門,鈴木一郎,74.0,52.0,14.0,組替済
2025-01-112,研究ISS,NW仮想化検証基盤整備,技術戦略部門,小林大輔,135.0,33.0,17.0,組替無
2025-01-113,その他ISS,データセンタNW刷新施策,NW技術部門,中村亮,143.0,36.0,21.0,組替済
2025-01-114,建物ISS,NW仮想化検証基盤整備,アクセス技術部門,加藤真由,110.0,40.0,37.0,組替無
2025-01-115,建物ISS,AIトラフィック分析基盤構築,デジタル技術,田中美咲,46.0,16.0,10.0,組替済
2025-01-116,システムISS,AIトラフィック分析基盤構築,クラウドサーバ部門,加藤真由,22.0,10.0,0.0,組替済
2025-01-117,その他ISS,クラウドNW統合管理施策,技術戦略部門,高橋健,150.0,51.0,39.0,組替無
2025-01-118,建物ISS,生成AI活用業務効率化施策,デジタル技術,佐藤太郎,185.0,19.0,10.0,組替済
2025-01-119,システムISS,クラウドNW統合管理施策,アクセス技術部門,小林大輔,62.0,42.0,16.0,組替済
2025-01-120,研究ISS,データセンタNW刷新施策,デジタル技術,山本彩,142.0,136.0,58.0,組替無
2025-01-121,建物ISS,5GコアNW最適化施策,デジタル技術,伊藤誠,74.0,0.0,0.0,組替済
2025-01-122,研究ISS,NW仮想化検証基盤整備,クラウドサーバ部門,山本彩,191.0,46.0,25.0,組替済
2025-01-123,建物ISS,NW仮想化検証基盤整備,技術戦略部門,田中美咲,81.0,39.0,9.0,組替無
2025-01-124,システムISS,生成AI活用業務効率化施策,ビジネスプロセス部門,加藤真由,186.0,35.0,33.0,組替無
2025-01-125,その他ISS,AI需要予測モデル高度化,デジタル技術,高橋健,79.0,52.0,32.0,組替済
2025-01-126,システムISS,データセンタNW刷新施策,NW技術部門,加藤真由,10.0,7.0,6.0,組替済
2025-01-127,研究ISS,5GコアNW最適化施策,デジタル技術,小林大輔,98.0,10.0,2.0,組替無
2025-01-128,研究ISS,5GコアNW最適化施策,クラウドサーバ部門,中村亮,131.0,75.0,10.0,組替無
2025-01-129,その他ISS,NW仮想化検証基盤整備,技術戦略部門,小林大輔,134.0,49.0,18.0,組替済
2025-01-130,その他ISS,5GコアNW最適化施策,クラウドサーバ部門,田中美咲,151.0,128.0,21.0,組替済
2025-01-131,システムISS,AI需要予測モデル高度化,アクセス技術部門,小林大輔,31.0,23.0,19.0,組替済
2025-01-132,建物ISS,AI需要予測モデル高度化,ビジネスプロセス部門,佐藤太郎,71.0,22.0,12.0,組替済
2025-01-133,その他ISS,クラウドNW統合管理施策,デジタル技術,中村亮,113.0,30.0,24.0,組替済
2025-01-134,システムISS,AIトラフィック分析基盤構築,クラウドサーバ部門,田中美咲,93.0,81.0,78.0,組替無
2025-01-135,その他ISS,生成AI活用業務効率化施策,ビジネスプロセス部門,山本彩,189.0,79.0,38.0,組替済
2025-01-136,研究ISS,データセンタNW刷新施策,NW技術部門,佐藤太郎,76.0,18.0,6.0,組替済
2025-01-137,建物ISS,クラウドNW統合管理施策,デジタル技術,佐藤太郎,105.0,30.0,26.0,組替済
2025-01-138,その他ISS,生成AI活用業務効率化施策,アクセス技術部門,鈴木一郎,198.0,45.0,24.0,組替無
2025-01-139,研究ISS,データセンタNW刷新施策,デジタル技術,山本彩,115.0,96.0,75.0,組替済
2025-01-140,建物ISS,AI需要予測モデル高度化,デジタル技術,伊藤誠,65.0,10.0,7.0,組替無
2025-01-141,その他ISS,5GコアNW最適化施策,技術戦略部門,渡辺直樹,148.0,45.0,8.0,組替無
2025-01-142,システムISS,AIトラフィック分析基盤構築,ビジネスプロセス部門,伊藤誠,123.0,46.0,4.0,組替済
2025-01-143,研究ISS,データセンタNW刷新施策,ビジネスプロセス部門,山本彩,98.0,49.0,47.0,組替済
2025-01-144,システムISS,生成AI活用業務効率化施策,アクセス技術部門,伊藤誠,10.0,5.0,1.0,組替無
2025-01-145,研究ISS,AIトラフィック分析基盤構築,ビジネスプロセス部門,渡辺直樹,196.0,89.0,33.0,組替無
2025-01-146,その他ISS,AIトラフィック分析基盤構築,クラウドサーバ部門,田中美咲,60.0,21.0,6.0,組替無
2025-01-147,システムISS,AI需要予測モデル高度化,クラウドサーバ部門,山本彩,101.0,75.0,3.0,組替無
2025-01-148,研究ISS,NW仮想化検証基盤整備,クラウドサーバ部門,加藤真由,175.0,83.0,25.0,組替無
2025-01-149,建物ISS,データセンタNW刷新施策,ビジネスプロセス部門,渡辺直樹,73.0,10.0,0.0,組替済
2025-01-150,研究ISS,クラウドNW統合管理施策,技術戦略部門,小林大輔,126.0,13.0,7.0,組替済
2025-01-151,システムISS,AI需要予測モデル高度化,技術戦略部門,山本彩,105.0,95.0,12.0,組替済
2025-01-152,建物ISS,5GコアNW最適化施策,デジタル技術,田中美咲,153.0,62.0,43.0,組替済
2025-01-153,研究ISS,AIトラフィック分析基盤構築,ビジネスプロセス部門,渡辺直樹,47.0,20.0,8.0,組替無
2025-01-154,システムISS,データセンタNW刷新施策,クラウドサーバ部門,鈴木一郎,17.0,13.0,10.0,組替済
2025-01-155,その他ISS,クラウドNW統合管理施策,デジタル技術,鈴木一郎,138.0,32.0,30.0,組替済
2025-01-156,研究ISS,AIトラフィック分析基盤構築,NW技術部門,小林大輔,158.0,147.0,61.0,組替済
2025-01-157,システムISS,AIトラフィック分析基盤構築,アクセス技術部門,佐藤太郎,189.0,185.0,30.0,組替済
2025-01-158,建物ISS,生成AI活用業務効率化施策,アクセス技術部門,渡辺直樹,105.0,44.0,21.0,組替済
2025-01-159,建物ISS,NW仮想化検証基盤整備,クラウドサーバ部門,高橋健,15.0,8.0,1.0,組替済
2025-01-160,その他ISS,NW仮想化検証基盤整備,ビジネスプロセス部門,中村亮,192.0,69.0,14.0,組替済
2025-01-161,建物ISS,5GコアNW最適化施策,クラウドサーバ部門,高橋健,90.0,65.0,45.0,組替済
2025-01-162,その他ISS,クラウドNW統合管理施策,ビジネスプロセス部門,鈴木一郎,149.0,97.0,31.0,組替済
2025-01-163,研究ISS,NW仮想化検証基盤整備,アクセス技術部門,伊藤誠,176.0,75.0,26.0,組替無
2025-01-164,研究ISS,NW仮想化検証基盤整備,NW技術部門,中村亮,176.0,94.0,55.0,組替済
2025-01-165,建物ISS,AIトラフィック分析基盤構築,デジタル技術,中村亮,185.0,144.0,10.0,組替済
2025-01-166,システムISS,データセンタNW刷新施策,技術戦略部門,佐藤太郎,65.0,29.0,14.0,組替無
2025-01-167,建物ISS,AIトラフィック分析基盤構築,クラウドサーバ部門,高橋健,98.0,76.0,38.0,組替無
2025-01-168,研究ISS,5GコアNW最適化施策,クラウドサーバ部門,渡辺直樹,156.0,124.0,35.0,組替済
2025-01-169,その他ISS,AIトラフィック分析基盤構築,技術戦略部門,伊藤誠,184.0,76.0,62.0,組替済
2025-01-170,研究ISS,AIトラフィック分析基盤構築,技術戦略部門,渡辺直樹,128.0,42.0,9.0,組替無
2025-01-171,研究ISS,生成AI活用業務効率化施策,技術戦略部門,小林大輔,20.0,4.0,3.0,組替済
2025-01-172,建物ISS,5GコアNW最適化施策,ビジネスプロセス部門,渡辺直樹,194.0,0.0,0.0,組替無
2025-01-173,システムISS,生成AI活用業務効率化施策,NW技術部門,鈴木一郎,150.0,108.0,1.0,組替無
2025-01-174,研究ISS,生成AI活用業務効率化施策,技術戦略部門,中村亮,197.0,145.0,46.0,組替済
2025-01-175,建物ISS,NW仮想化検証基盤整備,デジタル技術,伊藤誠,29.0,22.0,16.0,組替済
2025-01-176,研究ISS,クラウドNW統合管理施策,技術戦略部門,小林大輔,101.0,76.0,33.0,組替済
2025-01-177,その他ISS,クラウドNW統合管理施策,クラウドサーバ部門,高橋健,117.0,81.0,40.0,組替無
2025-01-178,システムISS,AI需要予測モデル高度化,アクセス技術部門,田中美咲,170.0,65.0,0.0,組替無
2025-01-179,建物ISS,5GコアNW最適化施策,クラウドサーバ部門,中村亮,148.0,0.0,0.0,組替無
2025-01-180,システムISS,クラウドNW統合管理施策,技術戦略部門,高橋健,28.0,15.0,3.0,組替無
2025-01-181,その他ISS,クラウドNW統合管理施策,アクセス技術部門,伊藤誠,171.0,121.0,22.0,組替無
2025-01-182,研究ISS,生成AI活用業務効率化施策,アクセス技術部門,加藤真由,81.0,6.0,0.0,組替済
2025-01-183,研究ISS,NW仮想化検証基盤整備,アクセス技術部門,加藤真由,109.0,54.0,5.0,組替済
2025-01-184,システムISS,AI需要予測モデル高度化,ビジネスプロセス部門,高橋健,30.0,5.0,1.0,組替済
2025-01-185,その他ISS,5GコアNW最適化施策,NW技術部門,加藤真由,12.0,11.0,10.0,組替無
2025-01-186,システムISS,クラウドNW統合管理施策,クラウドサーバ部門,小林大輔,81.0,19.0,18.0,組替無
2025-01-187,その他ISS,AIトラフィック分析基盤構築,ビジネスプロセス部門,伊藤誠,37.0,23.0,6.0,組替済
2025-01-188,その他ISS,5GコアNW最適化施策,デジタル技術,中村亮,50.0,40.0,13.0,組替済
2025-01-189,建物ISS,5GコアNW最適化施策,クラウドサーバ部門,田中美咲,198.0,82.0,44.0,組替済
2025-01-190,建物ISS,クラウドNW統合管理施策,デジタル技術,高橋健,104.0,32.0,1.0,組替済
2025-01-191,その他ISS,クラウドNW統合管理施策,NW技術部門,渡辺直樹,96.0,37.0,7.0,組替無
2025-01-192,研究ISS,クラウドNW統合管理施策,クラウドサーバ部門,渡辺直樹,44.0,14.0,7.0,組替済
2025-01-193,その他ISS,5GコアNW最適化施策,NW技術部門,小林大輔,117.0,103.0,61.0,組替無
2025-01-194,建物ISS,AIトラフィック分析基盤構築,NW技術部門,中村亮,52.0,27.0,0.0,組替済
2025-01-195,研究ISS,AI需要予測モデル高度化,アクセス技術部門,加藤真由,58.0,15.0,0.0,組替無
2025-01-196,建物ISS,AI需要予測モデル高度化,ビジネスプロセス部門,佐藤太郎,117.0,103.0,55.0,組替無
2025-01-197,研究ISS,生成AI活用業務効率化施策,クラウドサーバ部門,山本彩,58.0,36.0,10.0,組替済
2025-01-198,システムISS,クラウドNW統合管理施策,クラウドサーバ部門,山本彩,55.0,5.0,3.0,組替済
2025-01-199,システムISS,NW仮想化検証基盤整備,デジタル技術,山本彩,136.0,18.0,15.0,組替無
2025-01-200,その他ISS,5GコアNW最適化施策,技術戦略部門,渡辺直樹,161.0,92.0,81.0,組替済
